"dataResourceUid","images","dcterms:modified","dcterms:language","dcterms:license","rightsHolder","dcterms:accessRights","dcterms:bibliographicCitation","references","institutionID","collectionID","datasetID","institutionCode","collectionCode","datasetName","ownerInstitutionCode","basisOfRecord","informationWithheld","dataGeneralizations","dynamicProperties","provenance","rights","source","dcterms:type","occurrenceID","catalogNumber","recordNumber","recordedBy","individualCount","organismQuantity","organismQuantityType","sex","lifeStage","reproductiveCondition","behavior","establishmentMeans","occurrenceStatus","preparations","disposition","associatedMedia","associatedReferences","associatedSequences","associatedTaxa","otherCatalogNumbers","occurrenceRemarks","organismID","recordID","locationID","higherGeography","continent","waterBody","islandGroup","island","country","countryCode","stateProvince","county","municipality","locality","verbatimLocality","minimumElevationInMeters","maximumElevationInMeters","verbatimElevation","verbatimElevation","minimumDepthInMeters","maximumDepthInMeters","verbatimDepth","verbatimDepth","locationAccordingTo","locationRemarks","decimalLatitude","decimalLongitude","geodeticDatum","coordinateUncertaintyInMeters","coordinatePrecision","verbatimCoordinates","verbatimLatitude","verbatimLatitude","verbatimLongitude","verbatimLongitude","verbatimCoordinateSystem","verbatimCoordinateSystem","verbatimSRS","footprintSRS","georeferencedBy","georeferencedDate","georeferenceProtocol","georeferenceSources","georeferenceVerificationStatus","georeferenceRemarks"
"dr1411","d9e3fe7c-fc71-4824-a305-8d32ab1dbd62","2021-03-30T01:35:57Z","","CC-BY-NC 4.0 (Int)","ron4133","","","https://www.inaturalist.org/observations/72343902","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© ron4133 some rights reserved","","","https://www.inaturalist.org/observations/72343902","72343902","","ron4133","","","","","","","","","PRESENT","","","","","","","","Between 1 to 3 seen every day before the drought of 2019/2020 only seen occasional now","","887dd790-2a04-4996-847b-f5fadfdcf660","","","","","","","Australia","AU","Queensland","","","","Meadow Road, Logan Reserve, QLD, AU","","","","","","","","","","","-27.734433","153.102325","EPSG:4326","6.0","","","-27.7344333333","","153.102325","","EPSG:4326","","","","","","","","",""
"dr1411","dad994f1-9755-412d-93eb-196415bd7857","2021-06-20T09:09:52Z","","CC-BY-NC 4.0 (Int)","wild_wishart","","","https://www.inaturalist.org/observations/83756732","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© wild_wishart some rights reserved","","","https://www.inaturalist.org/observations/83756732","83756732","","","","","","","","","","","PRESENT","","","","","","","","","","7c657abc-dffa-41eb-92d5-1cb57257973f","","","","","","","Australia","AU","Queensland","","","","Nathan QLD 4111, Australia","","","","","","","","","","","-27.545129","153.047417","EPSG:4326","197.0","","","-27.5451288578","","153.047417365","","EPSG:4326","","","","","","","","",""
"dr1411","0a1ff11b-3342-4e7c-a3d3-e39bda5e7606","2021-07-05T20:15:50Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/66311705","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/66311705","66311705","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","a222885b-a35f-4072-a243-ebc38b731592","","","","","","","Australia","AU","Queensland","","","","Brisbane QLD, Australia","","","","","","","","","","","-27.546663","153.056453","EPSG:4326","","","","-27.5466633333","","153.0564533333","","EPSG:4326","","","","","","","","",""
"dr1411","4c28700e-3e02-43fd-973a-84206fef4942","2020-09-13T23:13:43Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59413591","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59413591","59413591","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","9faaf69d-2dd3-4538-9324-66dbb4759a16","","","","","","","Australia","AU","Queensland","","","","Nathan, Queensland, Australia","","","","","","","","","","","-27.54956","153.059867","EPSG:4326","","","","-27.54956","","153.0598666667","","EPSG:4326","","","","","","","","",""
"dr1411","387de29d-4ae4-412f-b0e6-cd89854875f9","2021-03-29T21:27:44Z","","CC-BY-NC 4.0 (Int)","greg n","","","https://www.inaturalist.org/observations/72346461","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© greg n some rights reserved","","","https://www.inaturalist.org/observations/72346461","72346461","","","","","","","Adult","","","","PRESENT","","","","","","","","No visible ear tags. High up a Spotted Gum, Corymbia sp.","","d6e6f026-9faa-4df1-8c75-c91448c728c1","","","","","","","Australia","AU","Queensland","","","","Whites Hill Reserve, Brisbane QLD, Australia","","","","","","","","","","","-27.514486","153.078469","EPSG:4326","25.0","","","-27.5144864841","","153.0784685511","","EPSG:4326","","","","","","","","",""
"dr1411","c9616902-8713-4cff-8a85-e958b6603e9e","2020-09-13T23:13:44Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59413590","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59413590","59413590","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","448ac3a0-61d1-45c4-9f8f-1ba9608e72d2","","","","","","","Australia","AU","Queensland","","","","Nathan, Queensland, Australia","","","","","","","","","","","-27.547468","153.058583","EPSG:4326","","","","-27.5474683333","","153.0585833333","","EPSG:4326","","","","","","","","",""
"dr1411","df0ad2f6-6fb1-48c6-9245-736a7e078c6f","2021-07-05T20:14:10Z","","CC-BY-NC 4.0 (Int)","crazybirdman","","","https://www.inaturalist.org/observations/77997424","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© crazybirdman some rights reserved","","","https://www.inaturalist.org/observations/77997424","77997424","","Crazybirdman","","","","","","","","","PRESENT","","","","","","","","","","91a825d9-cee7-47ef-a6df-8172a498212e","","","","","","","Australia","AU","Queensland","","","","Drayton QLD 4350, Australia","","","","","","","","","","","-27.597987","151.894935","EPSG:4326","4.0","","","-27.5979874577","","151.8949352675","","EPSG:4326","","","","","","","","",""
"dr1411","fc138646-af5d-4509-8e4d-c2a76c45be3c","2020-06-21T23:10:01Z","","CC-BY-NC 4.0 (Int)","toohey-forest-wildlife","","","https://www.inaturalist.org/observations/50015847","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© toohey-forest-wildlife some rights reserved","","","https://www.inaturalist.org/observations/50015847","50015847","","","","","","","","","","","PRESENT","","","","","","","","Scribbly gum","","2df4aa64-9e71-4968-bb8c-dfc8f81891f4","","","","","","","Australia","AU","Queensland","","","","Nathan Heights, Nathan, QLD, AU","","","","","","","","","","","-27.551096","153.044265","EPSG:4326","93.0","","","-27.5510956041","","153.0442651548","","EPSG:4326","","","","","","","","",""
"dr1411","7f0f5d25-83c4-4d61-9c2f-9d83d9dd0c24","2020-09-14T15:25:21Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59568449","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59568449","59568449","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","6debdc4c-6b22-4496-8a55-849668ed79f3","","","","","","","Australia","AU","Queensland","","","","Nathan, Queensland, Australia","","","","","","","","","","","-27.543167","153.057425","EPSG:4326","","","","-27.5431666667","","153.057425","","EPSG:4326","","","","","","","","",""
"dr1411","690da5ec-da71-4cea-b918-09a923490e1e","2021-03-05T21:24:47Z","","CC-BY-NC 4.0 (Int)","toohey-forest-wildlife","","","https://www.inaturalist.org/observations/70624612","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© toohey-forest-wildlife some rights reserved","","","https://www.inaturalist.org/observations/70624612","70624612","","","","","","","","","","","PRESENT","","","","","","","","Cheese tree","","31a784d2-e560-4d57-9b47-4569e58b773e","","","","","","","Australia","AU","Queensland","","","","Ring Road, Nathan, QLD, AU","","","","","","","","","","","-27.550923","153.057464","EPSG:4326","58.0","","","-27.5509226042","","153.057464394","","EPSG:4326","","","","","","","","",""
"dr1411","49f52f7c-2139-438f-b184-ade6137776a7","2020-09-23T01:18:37Z","","CC-BY-NC 4.0 (Int)","Dave Broughton","","","https://www.inaturalist.org/observations/60299246","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Dave Broughton some rights reserved","","","https://www.inaturalist.org/observations/60299246","60299246","","Broughton, Dave","","","","","","","","","PRESENT","","","","","","","","","","95c022ce-28f5-41c3-99cd-9926b4a4199c","","","","","","","Australia","AU","Queensland","","","","Brisbane QLD, Australia","","","","","","","","","","","-27.542353","153.056351","EPSG:4326","","","","-27.5423526764","","153.0563507078","","EPSG:4326","","","","","","","","",""
"dr1411","ff320c3a-35d9-47ca-b5c9-4d2d170c3c8d","2020-09-16T00:57:10Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59671231","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59671231","59671231","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","3c7c2b68-d4a7-47e8-a012-2e5eca95afd8","","","","","","","Australia","AU","Queensland","","","","Nathan, Queensland, Australia","","","","","","","","","","","-27.547393","153.058707","EPSG:4326","","","","-27.5473933333","","153.0587066667","","EPSG:4326","","","","","","","","",""
"dr1411","cc56d61f-6c44-40e5-b6ae-ba71d6296cdd","2021-06-17T10:08:35Z","","CC-BY-NC 4.0 (Int)","toohey-forest-wildlife","","","https://www.inaturalist.org/observations/83350423","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© toohey-forest-wildlife some rights reserved","","","https://www.inaturalist.org/observations/83350423","83350423","","","","","","","","","","","PRESENT","","","","","","","","Unknown sick Eucalyptus. Same female and Joey from last week","","c199b865-0ab0-4762-b525-5aa8c0d4ef6d","","","","","","","Australia","AU","Queensland","","","","East Creek Road, Nathan, QLD, AU","","","","","","","","","","","-27.551571","153.057187","EPSG:4326","19.0","","","-27.5515710224","","153.0571868133","","EPSG:4326","","","","","","","","",""
"dr1411","89aad5c2-36c1-4b9c-a39d-b7fbb8756eb7","2020-09-10T11:54:51Z","","CC-BY-SA 4.0 (Int)","Greg Tasney","","","https://www.inaturalist.org/observations/59118303","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Greg Tasney some rights reserved","","","https://www.inaturalist.org/observations/59118303","59118303","","Tasney, Greg","","","","","","","","","PRESENT","","","","","","","","","","74c905a7-f6ef-49d8-9525-e4b9bbbb2100","","","","","","","Australia","AU","Queensland","","","","Brisbane QLD, Australia","","","","","","","","","","","-27.547872","153.058587","EPSG:4326","","","","-27.5478716667","","153.0585866667","","EPSG:4326","","","","","","","","",""
"dr1411","12d5afef-09cf-44cf-a35c-a9f3b049a876","2020-06-08T13:31:51Z","","CC-BY-NC 4.0 (Int)","Jo Horsfall","","","https://www.inaturalist.org/observations/48751869","","","","iNaturalist","Observations","iNaturalist research-grade observations","","HUMAN_OBSERVATION","","","","","© Jo Horsfall some rights reserved","","","https://www.inaturalist.org/observations/48751869","48751869","","Horsfall, Jo","","","","","","","","","PRESENT","","","","","","","","","","f0905997-1da3-4d06-a6a2-685220af58ec","","","","","","","Australia","AU","Queensland","","","","Brisbane QLD, Australia","","","","","","","","","","","-27.2261","153.072456","EPSG:4326","35.0","","","-27.2261","","153.072456","","EPSG:4326","","","","","","","","",""
